,Unnamed: 2,Unnamed: 3,0M,0F,1M,1F,2M,2F,3M,3F,4M,4F,5M,5F,6M,6F,7M,7F,8M,8F,9M,9F,10M,10F,11M,11F,12M,12F,13M,13F,14M,14F,15M,15F,16M,16F,17M,17F
0,35,27,35,27,2,2,315,116,737,96,269,38,28,6,55,-,-,-,754,52,113,12,221,31,298,251,348,113,-,-,44,13,438,83,-,-,25,11
1,45,7,45,7,38,75,147,71,756,63,3,1,3,6,295,130,-,-,5,2,53,14,-,-,106,80,102,54,-,-,18,4,145,19,-,-,7,7
2,16,6,16,6,-,-,100,22,901,104,118,26,3,-,39,31,-,-,998,250,55,8,16,5,160,130,84,31,-,-,3,1,-,-,-,-,48,20
3,42,17,42,17,17,11,77,36,681,49,14,-,8,1,147,21,-,-,1419,521,121,25,64,29,131,80,196,95,5,-,14,2,38,10,-,-,20,32
4,9,2,9,2,-,-,115,47,759,101,-,-,-,-,328,45,-,-,451,153,76,18,-,-,80,76,142,93,-,-,4,-,-,-,-,-,7,15
5,14,7,14,7,131,349,192,85,1101,135,146,11,201,122,-,-,86,-,-,-,127,21,2,-,139,73,177,41,-,-,29,10,-,-,-,-,5,1
6,208,302,208,302,392,446,377,121,1602,215,85,20,70,38,-,-,173,-,-,-,317,65,19,-,290,240,337,136,51,9,51,7,-,-,-,-,50,84
7,9,9,9,9,67,9,126,18,563,117,-,-,146,106,231,70,108,-,181,21,110,18,4,-,76,55,107,28,2,6,-,-,87,11,-,-,9,9
8,52,23,52,23,13,7,294,98,993,162,8,2,23,13,-,-,644,-,-,-,129,52,-,-,153,119,209,65,2,2,32,19,-,-,-,-,28,35
9,20,7,20,7,105,258,230,96,878,129,17,13,18,4,41,26,480,-,-,-,179,82,-,-,130,122,215,77,6,2,24,9,197,37,-,-,61,26
10,44,27,44,27,-,-,297,98,1041,142,33,7,497,309,269,53,1188,-,-,-,191,76,3,3,131,100,230,113,2,1,41,24,-,-,-,-,28,22
11,19,10,19,10,103,56,140,57,896,146,21,-,83,72,282,109,392,-,-,-,115,28,-,-,72,43,178,76,24,3,13,5,-,-,-,-,30,11
12,15,3,15,3,4,7,209,80,914,72,21,-,24,10,14,-,312,-,4,6,163,69,10,1,102,73,136,34,-,-,9,3,156,37,-,-,8,6
13,61,9,61,9,11,25,62,18,320,45,-,-,24,14,84,1,101,-,-,-,65,18,-,-,27,9,56,15,-,-,29,8,10,1,-,-,33,17
14,3,2,3,2,-,-,61,22,411,43,-,-,-,-,115,2,88,-,-,-,44,14,3,-,39,27,56,35,4,1,11,2,141,9,-,-,23,7
15,594,1210,594,1210,-,-,67,17,29,4,-,-,-,-,-,-,-,-,-,-,23,9,-,-,22,15,69,39,-,-,5,5,10,1,-,-,6,2
16,110,32,110,32,102,29,915,706,536,56,174,28,12,-,-,-,397,36,580,135,493,136,221,52,375,94,335,100,3,1,79,15,237,83,258,63,111,170
17,28,15,28,15,-,-,108,26,190,51,68,18,-,-,3,2,-,-,7,2,93,5,27,1,111,53,106,32,-,-,55,3,-,-,-,-,11,7
18,64,13,64,13,5,-,297,106,419,74,162,20,12,5,-,-,133,-,3,-,229,53,52,6,103,38,163,18,10,3,51,22,296,63,-,-,21,23
19,83,26,83,26,56,7,369,215,284,43,15,4,52,12,52,21,-,-,-,-,115,43,10,1,71,32,140,51,24,4,119,18,130,19,-,-,103,87
20,51,23,51,23,73,70,257,88,425,56,51,4,6,3,6,1,-,-,3,-,179,35,189,54,138,43,145,49,10,3,20,7,-,-,-,-,48,25
21,-,-,-,-,-,-,49,67,126,8,-,-,-,-,-,-,-,-,-,-,11,2,-,-,26,11,26,12,-,-,12,1,-,-,-,-,2,2
