,risky_m,risky_f,full_m,full_f
"(43.0, '台北縣')",0.41955203311759,0.11367982580706239,0.21063203734944486,0.1341842903296137
"(43.0, '宜蘭縣')",0.7560238784370478,0.4184303930590246,0.5689369687603488,0.47767414169478073
"(43.0, '桃園縣')",0.763239826650187,0.3685246894880339,0.5136963876459675,0.3116653790972299
"(43.0, '新竹縣')",0.7283550799461811,0.37022590606208355,0.6115732045434219,0.41728624535315983
"(43.0, '苗栗縣')",0.8168147332538952,0.5603378268637323,0.5458162801273306,0.43887002161160854
"(43.0, '台中縣')",0.8061336254107339,0.3972290424412487,0.511601736241359,0.31589998091238786
"(43.0, '彰化縣')",0.8288294568239731,0.49516395376267985,0.5856133431928354,0.3574846206425154
"(43.0, '南投縣')",0.8297702051684598,0.711020663744521,0.5051710421638823,0.4251873338167754
"(43.0, '雲林縣')",0.8592920541894934,0.8508386457882032,0.5753331980244909,0.46995835812016656
"(43.0, '嘉義縣')",0.7902429213131607,0.8532478339615253,0.614453906649914,0.5324430479183032
"(43.0, '台南縣')",0.8317124537838724,0.8370993550889784,0.5694172072207975,0.5427338129496403
"(43.0, '高雄縣')",0.8269032826122004,0.8356184535718489,0.5702936771504851,0.5266861163548996
"(43.0, '屏東縣')",0.8297364187600544,0.8585281649023938,0.5240993184031159,0.39739688979039894
"(43.0, '台東縣')",0.7563220823193313,0.7806098875712305,0.38951804055833555,0.33817930079612324
"(43.0, '花蓮縣')",0.793672871474653,0.7948604342046965,0.6413185378590078,0.553183377811666
"(43.0, '澎湖縣')",0.45555418567377637,0.7640458073937437,0.3889479277364506,0.5477893368010404
"(43.0, '基隆市')",0.2405861537065602,0.15738938627222007,0.3749313727830425,0.2822313502053796
"(43.0, '台中市')",0.42473150357995226,0.19193570358261816,0.5572289156626506,0.5586924219910847
"(43.0, '台南市')",0.3628333811299111,0.4185219831618335,0.5446517002310993,0.3196146193318672
"(43.0, '高雄市')",0.3503633516682057,0.11311808534657937,0.7395607278277252,0.5876835739849439
"(43.0, '台北市')",0.3002487658879776,0.06460065683739781,0.6644513543696762,0.4063626723223754
"(55.0, '台北縣')",0.4829674489023467,0.12228507861571229,0.6805644049536034,0.28068869367479254
"(55.0, '宜蘭縣')",0.681605384602569,0.44964358811489874,0.7756185215380264,0.6264542057392654
"(55.0, '桃園縣')",0.6550701804640504,0.3009908760914353,0.7650287837628612,0.40976067877845784
"(55.0, '新竹縣')",0.6311856817231566,0.2812372358991497,0.7802428894379896,0.46195949644225504
"(55.0, '苗栗縣')",0.6737869803099302,0.37368667917448406,0.8102400831681882,0.5756261368406325
"(55.0, '台中縣')",0.5982339462359582,0.21998005668101187,0.7881056054676735,0.4156243485511778
"(55.0, '彰化縣')",0.647362555073751,0.36804694419840567,0.8231404677726407,0.563894523326572
"(55.0, '南投縣')",0.7036638744245717,0.4525619834710744,0.7935485076020771,0.5808928375562137
"(55.0, '雲林縣')",0.730811576824549,0.6628394546771751,0.8109379721155091,0.7475040961223375
"(55.0, '嘉義縣')",0.6354070745392709,0.5366166895645421,0.7615359520558703,0.6594781682641108
"(55.0, '台南縣')",0.6037509485039273,0.6123740446867546,0.7666544618701816,0.7105007763975155
"(55.0, '高雄縣')",0.652799862477975,0.5456055516592226,0.7829129692355066,0.69709317131735
"(55.0, '屏東縣')",0.7163283360830165,0.6485109239594776,0.7882041982244663,0.7357734680870436
"(55.0, '台東縣')",0.7364519848459892,0.5385625820979546,0.8205246203405431,0.6679790026246719
"(55.0, '花蓮縣')",0.6531891211769261,0.5465793827782174,0.7282689673403667,0.6480498996271867
"(55.0, '澎湖縣')",0.7534418897197568,0.7894004729447768,0.7881533101045296,0.8003060443764346
"(55.0, '基隆市')",0.4205551922962611,0.2253096221022547,0.5559894292588649,0.3424244826766035
"(55.0, '台中市')",0.2739302949061662,0.1431042616763642,0.5416163797666688,0.3218725617685306
"(55.0, '台南市')",0.2758773223237983,0.23579238031269822,0.5525375123694892,0.3759982416294234
"(55.0, '高雄市')",0.23844828951536268,0.10053601340033501,0.6085815382222568,0.41291047984391016
"(55.0, '台北市')",0.1993372028427485,0.05418850832103415,0.4121959130716834,0.23032606473184755
"(65.0, '台北市')",0.3846041673417804,0.1299552925366963,0.6529849687629445,0.43363615066246713
"(65.0, '台北縣')",0.23358334198704958,0.07729134499914223,0.6066374309564203,0.30953924607866107
"(65.0, '宜蘭縣')",0.5816921331198607,0.23369838628536047,0.8716493119229481,0.6059835745013687
"(65.0, '桃園縣')",0.3298946113589174,0.07618251000459227,0.6364583608114168,0.24901640286824317
"(65.0, '新竹縣')",0.3838418512610302,0.11578190276523788,0.7545949170497906,0.3567264023566957
"(65.0, '苗栗縣')",0.4455161122274317,0.17080677071883932,0.8032597721044281,0.5521699213419022
"(65.0, '台中縣')",0.405160225404707,0.1436378522880846,0.8176560848364988,0.5834954620421304
"(65.0, '彰化縣')",0.4984264619960695,0.21784022734449004,0.8569002151425736,0.6102289240359707
"(65.0, '南投縣')",0.6617503764726725,0.3237309514880851,0.9000288421005924,0.6848945896158832
"(65.0, '雲林縣')",0.6982098587884017,0.5339178389091144,0.8219696448474674,0.7225806451612903
"(65.0, '嘉義縣')",0.5959877805306328,0.41584695586535514,0.8968081734168881,0.7551344331681977
"(65.0, '台南縣')",0.49270412135520003,0.3486114033242163,0.8217666148333446,0.5648836294429737
"(65.0, '高雄縣')",0.4773592219324829,0.41561842996115883,0.8902493520421842,0.7602623138807761
"(65.0, '屏東縣')",0.6538145789101203,0.5170689069101151,0.898433401857234,0.8357455075279262
"(65.0, '台東縣')",0.6931266106205906,0.5906488549618321,0.8887147999153081,0.8341603053435115
"(65.0, '花蓮縣')",0.6777916005319378,0.7122470921708532,0.9119776536312849,0.911432777232581
"(65.0, '澎湖縣')",0.6736330178759201,0.8344455617515312,0.8571428571428571,0.938564365500824
"(65.0, '基隆市')",0.5559443030817076,0.28959550314118815,0.7792057843731072,0.5593612459090396
"(65.0, '台中市')",0.28246680171055594,0.11246047385546033,0.771969176612003,0.6882851902796883
"(65.0, '台南市')",0.3121955660763873,0.20587113991612657,0.707406334344836,0.45868233810681797
"(65.0, '高雄市')",0.3151760527187382,0.08404288867865027,0.7369456715047903,0.39844103384071616
